epoch,train_loss,train_dice,train_iou,train_precision,train_recall,train_tp,train_fp,train_fn,train_tn,learning_rate,val_loss,val_dice,val_iou,val_precision,val_recall,val_tp,val_fp,val_fn,val_tn,is_best,best_val_dice
21,0.11617763608694076,0.9517093173069313,0.9078677632257315,0.9547721713240399,0.9486660513701956,6673952,316147,361139,38523962,5e-05,0.275112708012263,0.871540350805523,0.7723274389364745,0.9333785421879326,0.8173868411300397,1237379,88320,276444,8228257,False,0.8934067543660112
22,0.11148217294897352,0.953009732644365,0.9102374323415298,0.9578089101754804,0.9482584086587772,6672389,293916,364078,38544817,5e-05,0.25471408923467,0.8977634135250631,0.8144924824135991,0.9103281739885087,0.8855407798666026,1340552,132051,173271,8184526,True,0.8977634135250631
23,0.10478486435753959,0.9566271529272959,0.9168603108766126,0.9589011401713149,0.95436392546646,6715084,287811,321104,38551201,5e-05,0.2759922595818837,0.884950176333304,0.7936418243834706,0.9021262579301494,0.868415924450877,1314628,142627,199195,8173950,False,0.8977634135250631
24,0.10279825589486531,0.9571524516736648,0.917825863626757,0.9606753204357239,0.9536553257608534,6709587,274653,326065,38564895,5e-05,0.2716750907897949,0.8845873501416621,0.7930583809086336,0.908163293705739,0.8622044981480662,1305225,131989,208598,8184588,False,0.8977634135250631
25,0.09569780055965696,0.9604599499751864,0.9239277985992559,0.959953427518098,0.9609670072508212,6764044,282177,274745,38554234,5e-05,0.3068319781621297,0.8673932613855115,0.7658379840178144,0.9400723614338701,0.80514564780691,1218848,77699,294975,8238878,False,0.8977634135250631
26,0.10168872714042664,0.9584270402650765,0.9201727361557012,0.9609831999291305,0.9558844429992018,6725710,273070,310402,38566018,5e-05,0.26801953673362733,0.8868601422928298,0.796719420432552,0.9018692705740302,0.872342407269542,1320572,143689,193251,8172888,False,0.8977634135250631
27,0.09314108329159873,0.9610756797241267,0.925068035243342,0.9656070664628831,0.9565866239860814,6729783,239701,305422,38600294,2.5e-05,0.26963146090507506,0.8841484962226488,0.7923531878835604,0.9140684453553628,0.8561251876870678,1296022,121839,217801,8194738,False,0.8977634135250631
28,0.08989158885819572,0.9624552578764569,0.9276277145471331,0.9635704937257453,0.9613426005892046,6762304,255661,271925,38585310,2.5e-05,0.27059434294700624,0.8843628497547757,0.7926975626084046,0.909678261938418,0.8604182919667623,1302521,129327,211302,8187250,False,0.8977634135250631
29,0.08931848057678768,0.9623785552896096,0.9274852213161595,0.9626333016606947,0.962123943712416,6769582,262776,266499,38576343,2.5e-05,0.26606066068013506,0.886344814842241,0.7958880151190448,0.9122899883154942,0.8618345737909914,1304665,125434,209158,8191143,False,0.8977634135250631
30,0.08384847775101661,0.9650546106021215,0.9324691143013654,0.9666742964387504,0.9634403433310469,6778325,233680,257217,38605978,2.5e-05,0.2620357469717662,0.8906280457822597,0.8028218510447878,0.909798717463756,0.8722486050218553,1320430,130913,193393,8185664,False,0.8977634135250631
31,0.08294882731778282,0.964942853183,0.9322604613188606,0.9642222031036292,0.9656645812814676,6791744,252010,241489,38589957,1.25e-05,0.2715829960505168,0.8865303296658544,0.7961872274435746,0.9115973860916794,0.8628049646491036,1306134,126663,207689,8189914,False,0.8977634135250631
32,0.08082988841193063,0.9666872204053021,0.9355223698912069,0.9676286315454843,0.9657476392926777,6793799,227282,240957,38613162,1.25e-05,0.2615219056606293,0.8907852788378173,0.8030774040796129,0.921609620316463,0.8619561203654589,1304849,110988,208974,8205589,False,0.8977634135250631
